"","GARCH","EGARCH","GJR","RV"
"2011-10-16",3.4709462378084,3.25282905895117,3.83190727756621,3.90775719858118
"2011-10-23",4.12488664617603,2.90697652797326,3.34754342260841,3.63466884616477
"2011-10-30",3.54274695978988,2.48398105322603,2.87662292690762,4.26663873097206
"2011-11-06",3.53475912321586,2.26824816814912,2.53420717695655,4.55166687045399
"2011-11-13",3.26023590599356,2.72951191478507,2.80173686691984,4.4934920313123
"2011-11-20",2.82163157563032,2.34365423770709,2.43375563876137,2.61370319615241
"2011-11-27",3.10040408098808,3.30708834791947,3.40683227836022,2.96314362061306
"2011-12-04",3.56372309573275,4.2035267929796,4.38928806893002,5.13546842884235
"2011-12-11",4.65111248765041,3.6240888264304,3.83009599291555,2.9102444153065
"2011-12-18",3.9577386610118,2.99460909908881,3.26899810904562,2.128276560019
"2011-12-25",3.64937652797648,3.33138546035636,3.42521450770605,3.39922833683781
"2012-01-01",3.60055021081121,2.88447577872355,2.97189246580936,1.70174377956818
"2012-01-08",3.08401824670761,2.58536561449017,2.60250356530425,1.58404152929138
"2012-01-15",2.76164846443469,2.26404912807236,2.28025757343029,1.06541409352179
"2012-01-22",2.42447853104146,1.99667286591509,2.01828389254974,1.26224568837189
"2012-01-29",2.33711219208455,1.83618892106436,1.82706479841551,1.05732871452092
"2012-02-05",2.04406105606764,1.63823817312426,1.6618573454055,1.72200457995758
"2012-02-12",2.09869892293423,1.56390758554979,1.55899177985047,0.767082778912014
"2012-02-19",1.85600316314439,1.46723172464474,1.46321430679431,1.42017973148653
"2012-02-26",1.79678426672049,1.39805625868048,1.39818539557765,0.571626284024582
"2012-03-04",1.62561577054624,1.30140063192297,1.3406892941039,0.915772407181177
"2012-03-11",1.49207304817156,1.22142380520478,1.29886139756602,2.02692291807607
"2012-03-18",1.38476806710516,1.14852343381145,1.26839221437756,1.89998957377999
"2012-03-25",1.76217813959273,1.18438328751565,1.28183957309924,0.949805803747707
"2012-04-01",1.60992282401579,1.26401186189284,1.30242717681777,1.54559483759227
"2012-04-08",1.52678222046226,1.21195028765018,1.27487523232578,1.33203720711613
"2012-04-15",1.45690221806961,1.36237219941557,1.34938317155449,2.87626003691707
"2012-04-22",1.68188498391525,1.94875976993084,1.8929055969376,1.70215633534019
"2012-04-29",1.557223420355,1.74538419292514,1.71415293220671,1.78489908384249
"2012-05-06",1.68283486085947,1.63317201211066,1.59114248829159,1.9425316440074
"2012-05-13",1.95684369790734,2.3094930525754,2.24561751098996,0.903140978145529
"2012-05-20",1.8332400882914,2.31720020225161,2.13827369779193,2.15070594707834
"2012-05-27",2.72346722835252,3.51194164395011,3.55102029693814,1.62107504400301
"2012-06-03",2.50466397112362,2.94432012749653,3.04670000355054,3.09456577271067
"2012-06-10",2.65254921471764,3.36311184488403,3.35960223968633,2.48440216751822
"2012-06-17",2.92267349747303,2.90657478948397,2.91877754129811,2.38040058213471
"2012-06-24",2.59496022047757,2.49005898594553,2.53087533360768,2.56572808998405
"2012-07-01",2.26911350654264,2.28825377594533,2.24996526412543,3.11722236117996
"2012-07-08",2.22400971009178,2.05731139658626,2.00706489685957,1.25109935921333
"2012-07-15",1.97240301786913,1.95538447018485,1.83978185089301,1.90262267111483
"2012-07-22",1.75624027852911,1.73379218002478,1.67171270976686,1.46228586130105
"2012-07-29",1.60027735141382,1.57183642201481,1.54435064036949,2.80900865660613
"2012-08-05",1.68858981824171,1.49373031229194,1.46306823643808,2.09728997692395
"2012-08-12",1.54411536474041,1.37929295440997,1.38831401484554,0.605758800833019
"2012-08-19",1.51731637183582,1.31529988954123,1.33942160622143,0.751284596105189
"2012-08-26",1.46748416338704,1.25596781126294,1.30197105457032,1.0927698789693
"2012-09-02",1.38743668474926,1.31886955298134,1.31503787473287,0.941399217414003
"2012-09-09",1.31547319778189,1.31643561508777,1.29876243569167,2.06899111753411
"2012-09-16",1.6594778479328,1.31145008788649,1.29752732244577,1.81532822419543
"2012-09-23",1.78384522287307,1.29557159515966,1.2896344185388,0.362440491341684
"2012-09-30",1.61850561285689,1.31601420202473,1.28869115072864,1.61835438608122
"2012-10-07",1.62189261335557,1.65272963526992,1.55891468044164,0.848941161224185
"2012-10-14",1.63520729375355,1.5455029070434,1.468946582723,1.25773608493325
"2012-10-21",1.85768432639697,2.15881565640087,2.06654280333561,2.17076959053086
"2012-10-28",1.67232789953322,1.89611984241412,1.84781340861611,1.51954170659811
"2012-11-04",1.6907500973077,2.12346403734129,1.96313981799548,1.43849598515253
"2012-11-11",1.53744679476744,1.86316929402075,1.76698601977035,2.81972403365013
"2012-11-18",1.86730191137609,2.44738701549219,2.32939736201449,1.53750056250982
"2012-11-25",1.82072107740654,2.50794137804145,2.28237805246603,2.36667883076592
"2012-12-02",2.40142654583976,2.28012472003097,2.06496627713576,1.05357856353838
"2012-12-09",2.10957639827355,1.99479366455013,1.84718613259223,0.6889496918631
"2012-12-16",1.86391407112485,1.76340470065361,1.67737617597336,1.00155433175504
"2012-12-23",1.67696322250277,1.66491920216723,1.56275390789434,2.11301353311877
"2012-12-30",1.62984978082808,1.54603431203136,1.46868004780501,1.24076684050904
"2013-01-06",1.77506497151446,2.04605897100814,1.92888782359522,3.06507347477769
"2013-01-13",2.72508826141479,1.97034306524055,1.82673141269438,0.920075972778089
"2013-01-20",2.36318538826956,1.75372340465898,1.6622479616232,0.673683742008249
"2013-01-27",2.11636154607845,1.60690831217569,1.5407158101081,0.71612401641864
